Contrato - ID de contrato,Tipo de contrato,Organización - Departamento,Partes afectadas - Nombre del proveedor (L1),Contrato - Fecha de expiración,dias_hasta_vencimiento,Estado del contrato
CW2315439,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CENTRO DE ORTOPEDIA Y FRACTURAS S.A,2026-05-22,11.0,Publicado
CW2348739,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Vaxthera,MARIA DEL PILAR MEJIA SANCHEZ,2026-05-22,11.0,Publicado
CW2348674,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA BLAS DE LEZO S.A,2026-05-22,11.0,Publicado
CW2286303,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CENTRO DE ORTOPEDIA Y FRACTURAS S.A,2026-05-22,11.0,Publicado
CW2261561,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,HSEQ SOLUCIONES E INGENIERIA SAS,2026-05-22,11.0,Publicado
CW2261561,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,HSEQ SOLUCIONES E INGENIERIA SAS,2026-05-22,11.0,Publicado
CW2368734,CONTRATO PRESTACIÓN DE SERVICIOS DE NEGOCIO (AY DX),Ayudas Diagnósticas,ISABELA SANCHEZ VELEZ,2026-05-22,11.0,Publicado
CW2261500,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,INTERSALUD OCUPACIONAL S.A.S,2026-05-22,11.0,Publicado
CW2261559,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FUNDERINNOVA,2026-05-22,11.0,Publicado
CW2287352,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SOCIEDAD COLOMBIANA DE MEDICINA DEL,2026-05-22,11.0,Publicado
CW2261500,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,INTERSALUD OCUPACIONAL S.A.S,2026-05-22,11.0,Publicado
CW2261569,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,MV ASESORES SAS,2026-05-22,11.0,Publicado
